PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
1631260,AJ Green,1610612749,MIL,26.0,17,8,9,28.6,11.0,2.6,1.8,0.4,0.1,0.8,0.48,0.482,0.789
1642358,AJ Johnson,1610612764,WAS,20.0,8,0,8,4.7,0.9,0.6,0.5,0.0,0.0,0.1,0.182,0.0,0.75
203932,Aaron Gordon,1610612743,DEN,30.0,13,10,3,28.3,18.8,5.9,1.3,0.8,0.2,1.4,0.532,0.444,0.867
1628988,Aaron Holiday,1610612745,HOU,29.0,9,8,1,10.1,5.8,0.4,0.8,0.2,0.1,0.6,0.536,0.421,0.933
1630174,Aaron Nesmith,1610612754,IND,26.0,11,1,10,30.4,15.5,4.5,1.5,0.8,0.3,0.7,0.367,0.373,0.795
1630598,Aaron Wiggins,1610612760,OKC,26.0,9,8,1,27.6,14.8,3.7,2.2,0.4,0.8,1.0,0.459,0.417,0.667
1642846,Ace Bailey,1610612762,UTA,19.0,15,5,10,20.3,9.1,3.3,1.6,0.8,0.1,1.4,0.442,0.333,0.824
1641737,Adem Bona,1610612755,PHI,22.0,12,7,5,14.8,2.2,3.4,0.3,0.4,1.7,0.6,0.45,0.0,0.5
1642876,Adou Thiero,1610612747,LAL,21.0,2,2,0,4.1,3.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1642349,Ajay Mitchell,1610612760,OKC,23.0,17,16,1,27.9,15.9,3.8,3.8,1.8,0.4,1.8,0.441,0.317,0.918
201143,Al Horford,1610612744,GSW,39.0,12,7,5,21.8,5.8,4.3,1.8,1.0,1.0,1.3,0.343,0.32,1.0
1627936,Alex Caruso,1610612760,OKC,31.0,12,12,0,18.5,5.9,2.1,2.7,1.8,0.3,0.8,0.391,0.349,0.75
1642259,Alex Sarr,1610612764,WAS,20.0,14,1,13,28.9,18.1,8.4,3.6,0.6,2.0,2.3,0.507,0.348,0.683
1630578,Alperen Sengun,1610612745,HOU,23.0,14,10,4,36.8,22.7,10.0,7.3,1.2,0.9,3.5,0.485,0.436,0.743
1642873,Amari Williams,1610612738,BOS,23.0,2,0,2,3.4,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0
1641708,Amen Thompson,1610612745,HOU,22.0,14,10,4,36.4,17.2,6.4,5.0,1.6,0.4,2.2,0.475,0.219,0.764
1629599,Amir Coffey,1610612749,MIL,28.0,14,7,7,9.3,1.7,1.0,0.6,0.0,0.1,0.1,0.45,0.333,1.0
203083,Andre Drummond,1610612755,PHI,32.0,14,9,5,23.3,8.2,9.6,0.7,0.9,0.9,0.8,0.575,0.389,0.615
1641748,Andre Jackson Jr.,1610612749,MIL,24.0,7,2,5,7.3,0.9,0.9,1.6,0.6,0.1,0.6,0.25,0.25,0.5
1629614,Andrew Nembhard,1610612754,IND,25.0,9,1,8,29.6,19.0,1.7,6.4,0.4,0.2,2.6,0.422,0.347,0.939
203952,Andrew Wiggins,1610612748,MIA,30.0,15,9,6,33.0,16.7,4.9,2.8,1.1,0.9,2.0,0.481,0.365,0.649
1629014,Anfernee Simons,1610612738,BOS,26.0,16,8,8,25.1,13.9,2.3,2.6,0.5,0.2,1.5,0.432,0.4,0.846
1641710,Anthony Black,1610612753,ORL,21.0,17,10,7,27.1,11.7,3.0,2.6,1.5,0.6,2.0,0.48,0.304,0.679
203076,Anthony Davis,1610612742,DAL,32.0,5,2,3,29.9,20.8,10.2,2.2,1.6,1.2,2.2,0.52,0.273,0.742
1630162,Anthony Edwards,1610612750,MIN,24.0,12,8,4,31.6,26.5,4.3,3.5,1.5,0.7,2.5,0.465,0.374,0.841
1630264,Anthony Gill,1610612764,WAS,33.0,6,0,6,3.0,2.2,0.8,0.0,0.0,0.0,0.3,0.8,1.0,1.0
1641810,Antonio Reeves,1610612766,CHA,25.0,2,0,2,10.5,4.5,1.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0
1630574,Ariel Hukporti,1610612752,NYK,23.0,9,5,4,6.6,1.0,2.1,0.6,0.1,0.2,0.6,0.5,0.0,0.5
1642854,Asa Newell,1610612737,ATL,20.0,10,8,2,8.5,4.7,1.7,0.1,0.4,0.3,0.4,0.485,0.471,0.778
1641709,Ausar Thompson,1610612765,DET,22.0,12,10,2,28.5,12.6,5.8,2.9,1.8,0.9,1.2,0.508,0.308,0.487
1630559,Austin Reaves,1610612747,LAL,27.0,12,9,3,36.1,28.1,5.1,7.6,1.3,0.1,3.4,0.49,0.326,0.872
1630245,Ayo Dosunmu,1610612741,CHI,25.0,14,8,6,26.1,15.6,2.6,3.1,0.5,0.3,1.3,0.549,0.473,0.857
1628389,Bam Adebayo,1610612748,MIA,28.0,10,6,4,30.1,19.7,7.9,3.1,0.9,0.7,1.8,0.453,0.375,0.857
1631248,Baylor Scheierman,1610612738,BOS,25.0,12,7,5,10.3,3.1,2.1,0.5,0.3,0.1,0.2,0.591,0.556,1.0
1642879,Ben Saraf,1610612751,BKN,19.0,7,0,7,13.8,3.3,1.9,2.4,0.3,0.0,1.3,0.259,0.231,0.75
1641767,Ben Sheppard,1610612754,IND,24.0,16,2,14,25.7,6.6,4.5,2.0,0.7,0.2,0.6,0.322,0.206,0.824
1631097,Bennedict Mathurin,1610612754,IND,23.0,5,1,4,33.9,26.4,7.2,2.2,0.6,0.2,2.6,0.507,0.387,0.815
1641731,Bilal Coulibaly,1610612764,WAS,21.0,8,0,8,25.4,9.6,3.9,3.3,1.0,1.0,1.6,0.387,0.308,0.808
202687,Bismack Biyombo,1610612759,SAS,33.0,6,5,1,7.6,0.3,1.0,0.3,0.5,0.2,0.3,0.5,0.0,0.0
1631104,Blake Wesley,1610612757,POR,22.0,6,4,2,16.3,6.0,2.3,3.2,1.7,0.2,1.2,0.412,0.2,0.6
1626171,Bobby Portis,1610612749,MIL,30.0,17,8,9,21.5,10.8,5.8,1.1,0.4,0.1,1.1,0.5,0.472,0.714
1641752,Bobi Klintman,1610612765,DET,22.0,6,5,1,8.8,2.8,2.7,0.7,0.3,0.0,0.8,0.333,0.273,0.0
203992,Bogdan Bogdanović,1610612746,LAC,33.0,9,2,7,25.6,9.2,3.4,3.3,0.8,0.1,1.4,0.373,0.34,0.846
1630538,Bones Hyland,1610612750,MIN,25.0,13,9,4,9.1,3.9,1.2,1.4,0.5,0.0,0.6,0.488,0.32,0.75
203078,Bradley Beal,1610612746,LAC,32.0,6,2,4,20.2,8.2,0.8,1.7,0.5,0.0,1.5,0.375,0.368,0.75
1642382,Branden Carlson,1610612760,OKC,26.0,12,11,1,8.4,3.4,1.8,0.5,0.2,0.6,0.3,0.459,0.235,0.6
1641764,Brandin Podziemski,1610612744,GSW,22.0,18,9,9,28.7,12.4,4.6,2.9,1.2,0.3,1.3,0.438,0.379,0.778
1627742,Brandon Ingram,1610612761,TOR,28.0,16,11,5,33.1,21.1,5.8,4.0,1.0,0.8,2.8,0.496,0.288,0.885
1641706,Brandon Miller,1610612766,CHA,23.0,3,1,2,21.8,16.7,0.3,3.7,0.7,0.7,1.0,0.419,0.19,0.769
1630314,Brandon Williams,1610612742,DAL,26.0,16,4,12,22.0,10.9,2.8,3.9,1.6,0.3,2.1,0.396,0.188,0.825
1641729,Brice Sensabaugh,1610612762,UTA,22.0,14,4,10,14.9,8.5,2.6,1.2,0.6,0.1,0.9,0.432,0.338,0.933
1642355,Bronny James,1610612747,LAL,21.0,10,7,3,11.1,2.1,0.9,1.8,0.8,0.1,0.8,0.296,0.273,1.0
201572,Brook Lopez,1610612746,LAC,37.0,16,5,11,14.6,6.7,2.0,0.6,0.3,0.9,0.8,0.413,0.365,0.727
1642964,Brooks Barnhizer,1610612760,OKC,23.0,14,13,1,7.5,1.1,2.0,0.3,0.1,0.1,0.1,0.5,0.0,0.5
1628971,Bruce Brown,1610612743,DEN,29.0,16,12,4,22.9,6.5,3.9,1.6,0.9,0.2,0.8,0.424,0.321,0.81
1631121,Bryce McGowens,1610612740,NOP,23.0,7,0,7,9.0,3.9,0.7,0.4,0.4,0.1,0.1,0.444,0.0,0.786
1642267,Bub Carrington,1610612764,WAS,20.0,16,1,15,25.4,6.3,3.6,4.1,0.6,0.1,2.3,0.343,0.447,0.714
1627741,Buddy Hield,1610612744,GSW,32.0,18,9,9,17.4,6.9,1.7,1.5,0.9,0.0,1.2,0.405,0.301,0.923
203468,CJ McCollum,1610612764,WAS,34.0,16,1,15,29.2,16.5,3.3,3.3,0.7,0.3,1.4,0.409,0.38,0.813
1630595,Cade Cunningham,1610612765,DET,24.0,13,11,2,36.4,27.4,5.6,9.9,1.4,0.8,3.6,0.444,0.291,0.823
1631216,Caleb Houstan,1610612737,ATL,22.0,7,5,2,5.4,2.4,0.6,0.3,0.1,0.1,0.4,0.455,0.5,1.0
1631126,Caleb Love,1610612757,POR,24.0,8,3,5,16.6,8.1,3.4,2.3,0.5,0.0,0.6,0.338,0.273,0.833
1628997,Caleb Martin,1610612742,DAL,30.0,15,4,11,10.0,1.6,1.5,1.0,0.4,0.1,0.5,0.308,0.111,0.875
1642353,Cam Christie,1610612746,LAC,20.0,11,2,9,12.4,5.5,2.3,0.7,0.4,0.2,0.5,0.386,0.364,0.783
1642285,Cam Spencer,1610612763,MEM,25.0,17,6,11,19.6,9.5,2.1,3.3,0.7,0.1,0.8,0.427,0.425,0.871
1630560,Cam Thomas,1610612751,BKN,24.0,8,1,7,28.3,21.4,1.4,2.6,0.5,0.1,2.0,0.402,0.356,0.875
1641715,Cam Whitmore,1610612764,WAS,21.0,16,1,15,17.2,10.0,2.8,0.8,0.8,0.2,1.0,0.492,0.357,0.778
1629661,Cameron Johnson,1610612743,DEN,29.0,15,11,4,27.2,9.4,3.1,2.2,0.5,0.2,0.8,0.435,0.333,0.815
1627747,Caris LeVert,1610612765,DET,31.0,11,10,1,19.2,9.0,1.5,3.3,0.6,0.4,1.6,0.493,0.394,0.571
1642868,Carter Bryant,1610612759,SAS,19.0,10,9,1,6.4,2.2,1.2,0.0,0.2,0.1,0.4,0.296,0.214,1.0
1641717,Cason Wallace,1610612760,OKC,22.0,16,15,1,28.7,8.8,2.9,2.6,2.4,0.3,1.2,0.43,0.382,0.909
1642907,Cedric Coward,1610612763,MEM,22.0,17,6,11,26.4,14.3,6.0,2.8,0.7,0.4,1.2,0.468,0.39,0.875
1629646,Charles Bassey,1610612763,MEM,25.0,2,0,2,15.3,3.5,7.5,1.0,0.5,0.5,0.5,0.375,0.0,0.333
1642404,Chaz Lanier,1610612765,DET,23.0,12,11,1,10.8,3.6,1.2,0.8,0.3,0.0,0.1,0.35,0.333,1.0
1631096,Chet Holmgren,1610612760,OKC,23.0,13,13,0,29.7,19.3,7.8,1.6,0.8,1.4,2.3,0.578,0.357,0.849
1628449,Chris Boucher,1610612738,BOS,32.0,7,2,5,10.9,2.4,2.4,0.3,0.6,0.7,0.1,0.318,0.083,1.0
1643024,Chris Mañon,1610612747,LAL,23.0,2,1,1,3.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
101108,Chris Paul,1610612746,LAC,40.0,11,4,7,14.6,2.5,2.0,3.7,0.9,0.0,1.1,0.263,0.28,0.5
1642959,Chris Youngblood,1610612760,OKC,23.0,15,15,0,4.8,1.7,0.6,0.1,0.1,0.0,0.0,0.35,0.353,1.0
1631128,Christian Braun,1610612743,DEN,24.0,11,9,2,29.6,11.4,4.4,3.0,0.8,0.3,1.3,0.495,0.214,0.793
1631132,Christian Koloko,1610612747,LAL,25.0,2,1,1,3.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203991,Clint Capela,1610612745,HOU,31.0,13,9,4,9.7,3.4,4.2,0.3,0.4,0.5,0.4,0.6,0.0,0.8
1629632,Coby White,1610612741,CHI,25.0,3,2,1,29.7,24.0,2.7,7.0,1.0,0.0,3.3,0.426,0.393,0.875
1628998,Cody Martin,1610612754,IND,30.0,4,0,4,13.8,1.8,3.5,0.5,1.0,0.5,1.0,0.2,0.0,0.5
1642262,Cody Williams,1610612762,UTA,21.0,10,3,7,13.8,2.5,1.0,0.6,0.3,0.2,0.4,0.324,0.118,0.333
1641732,Colby Jones,1610612765,DET,23.0,1,0,1,6.8,2.0,4.0,2.0,0.0,0.0,0.0,0.333,0.0,0.0
1630175,Cole Anthony,1610612749,MIL,25.0,16,8,8,19.3,8.3,3.3,5.1,0.7,0.4,2.4,0.412,0.293,0.533
1631221,Collin Gillespie,1610612756,PHX,26.0,16,10,6,25.0,11.1,4.3,5.1,1.1,0.4,1.6,0.414,0.404,0.818
1642867,Collin Murray-Boyles,1610612761,TOR,20.0,11,7,4,20.0,8.5,3.5,1.2,0.7,0.5,1.1,0.5,0.5,0.762
1629012,Collin Sexton,1610612766,CHA,26.0,15,4,11,26.0,15.4,2.3,4.7,0.7,0.0,2.7,0.466,0.396,0.866
1642843,Cooper Flagg,1610612742,DAL,18.0,17,5,12,33.6,16.1,6.4,3.1,1.3,0.7,2.1,0.457,0.277,0.786
1630557,Corey Kispert,1610612764,WAS,26.0,16,1,15,19.6,8.3,2.4,1.8,0.3,0.1,0.7,0.5,0.39,0.75
1641854,Craig Porter Jr.,1610612739,CLE,25.0,17,11,6,17.4,5.8,2.9,2.5,1.0,0.6,0.8,0.533,0.448,0.5
1626156,D'Angelo Russell,1610612742,DAL,29.0,16,4,12,22.2,12.6,2.9,5.0,0.6,0.1,2.4,0.399,0.256,0.696
1641747,DaRon Holmes II,1610612743,DEN,23.0,2,2,0,2.2,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1631342,Daeqwon Plowden,1610612758,SAC,27.0,1,0,1,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1631207,Dalen Terry,1610612741,CHI,23.0,10,5,5,8.9,2.3,1.3,1.5,0.4,0.3,0.4,0.45,0.286,0.429
1642261,Dalton Knecht,1610612747,LAL,24.0,14,11,3,17.8,7.1,2.2,0.6,0.5,0.4,0.6,0.464,0.326,0.667
1629655,Daniel Gafford,1610612742,DAL,27.0,12,3,9,23.6,9.7,6.3,1.6,0.9,1.6,1.3,0.629,0.0,0.778
1642450,Daniss Jenkins,1610612765,DET,24.0,11,10,1,21.1,11.4,2.0,4.3,1.5,0.0,1.7,0.51,0.467,0.688
1642874,Danny Wolf,1610612751,BKN,21.0,3,0,3,2.6,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0
203967,Dario Šarić,1610612758,SAC,31.0,3,1,2,9.2,1.7,1.7,0.7,0.0,0.0,0.3,0.2,0.5,1.0
1629636,Darius Garland,1610612739,CLE,25.0,4,3,1,25.0,14.8,2.8,5.5,0.8,0.0,2.3,0.354,0.435,1.0
1642357,David Jones Garcia,1610612759,SAS,23.0,5,4,1,7.2,4.6,1.8,2.4,0.6,0.2,0.2,0.667,1.0,0.4
1630558,Davion Mitchell,1610612748,MIA,27.0,16,10,6,29.9,10.6,2.6,7.3,1.3,0.1,1.6,0.519,0.383,0.577
1630549,Day'Ron Sharpe,1610612751,BKN,24.0,14,3,11,15.7,6.9,5.3,1.9,0.9,0.5,2.0,0.632,0.25,0.667
1628368,De'Aaron Fox,1610612759,SAS,27.0,7,5,2,33.6,23.1,3.4,6.6,1.4,0.3,3.4,0.517,0.386,0.778
1629631,De'Andre Hunter,1610612739,CLE,27.0,14,9,5,28.9,18.1,4.9,2.7,0.7,0.2,1.7,0.453,0.313,0.862
201599,DeAndre Jordan,1610612740,NOP,37.0,2,0,2,11.7,4.5,5.0,0.0,0.0,0.0,0.5,0.8,0.0,0.5
201942,DeMar DeRozan,1610612758,SAC,36.0,17,4,13,32.7,17.9,3.3,3.6,1.2,0.2,1.1,0.495,0.361,0.877
1629731,Dean Wade,1610612739,CLE,29.0,16,10,6,22.4,5.3,3.9,1.5,0.7,0.7,0.3,0.377,0.304,0.625
1629028,Deandre Ayton,1610612747,LAL,27.0,14,10,4,30.3,16.5,8.8,0.9,0.7,0.9,2.6,0.699,0.0,0.565
1630166,Deni Avdija,1610612757,POR,24.0,16,7,9,34.3,25.9,6.7,5.7,0.6,0.8,3.6,0.482,0.37,0.841
203471,Dennis Schröder,1610612758,SAC,32.0,17,4,13,29.5,12.8,3.6,5.8,0.9,0.2,2.0,0.402,0.338,0.769
1641726,Dereck Lively II,1610612742,DAL,21.0,7,3,4,16.5,4.3,5.3,1.9,0.6,1.6,1.4,0.611,0.0,0.8
1642852,Derik Queen,1610612740,NOP,20.0,17,2,15,24.2,12.6,6.6,3.2,1.1,0.8,2.5,0.488,0.125,0.779
1627884,Derrick Jones Jr.,1610612746,LAC,28.0,13,4,9,24.9,10.5,2.4,1.1,0.8,1.2,0.8,0.533,0.348,0.786
1628401,Derrick White,1610612738,BOS,31.0,16,8,8,32.9,15.3,3.8,5.3,1.7,1.2,1.4,0.348,0.297,0.81
1630217,Desmond Bane,1610612753,ORL,27.0,17,10,7,32.8,17.4,4.5,4.5,0.8,0.3,2.4,0.434,0.337,0.934
1626164,Devin Booker,1610612756,PHX,29.0,16,10,6,35.3,27.1,4.1,7.1,0.9,0.3,4.1,0.477,0.333,0.893
1642269,Devin Carter,1610612758,SAC,23.0,8,1,7,8.1,2.1,1.5,1.1,0.8,0.1,0.8,0.238,0.182,1.0
1630170,Devin Vassell,1610612759,SAS,25.0,15,11,4,33.2,13.7,3.6,2.6,1.1,0.3,1.1,0.407,0.359,0.8
1628415,Dillon Brooks,1610612756,PHX,29.0,10,7,3,30.2,21.0,3.3,2.0,2.1,0.2,2.2,0.46,0.342,0.872
1627734,Domantas Sabonis,1610612758,SAC,29.0,11,2,9,33.2,17.2,12.3,3.7,1.2,0.2,2.5,0.51,0.2,0.725
1631230,Dominick Barlow,1610612755,PHI,22.0,6,4,2,24.4,6.5,5.0,2.3,0.5,1.0,1.7,0.536,0.333,0.75
1642270,Donovan Clingan,1610612757,POR,21.0,16,7,9,25.6,10.2,10.0,1.6,0.8,1.6,0.7,0.496,0.213,0.885
1628378,Donovan Mitchell,1610612739,CLE,29.0,15,10,5,34.1,30.3,4.8,5.3,1.5,0.4,3.4,0.507,0.383,0.822
1628978,Donte DiVincenzo,1610612750,MIN,28.0,16,10,6,30.8,13.6,3.9,3.6,1.2,0.5,1.5,0.421,0.388,0.86
203926,Doug McDermott,1610612758,SAC,33.0,1,0,1,7.8,6.0,0.0,0.0,0.0,0.0,1.0,0.667,0.667,0.0
1642962,Drake Powell,1610612751,BKN,20.0,9,2,7,18.9,6.1,2.1,1.8,1.0,0.1,1.2,0.512,0.4,1.0
203110,Draymond Green,1610612744,GSW,35.0,16,9,7,28.7,8.1,5.8,5.8,0.9,0.8,3.2,0.388,0.357,0.579
1629234,Drew Eubanks,1610612758,SAC,28.0,17,4,13,16.2,6.6,2.9,0.3,0.6,0.9,1.0,0.644,0.5,0.515
1641809,Drew Peterson,1610612766,CHA,26.0,3,0,3,14.6,1.7,1.7,0.3,0.7,0.3,0.0,0.182,0.0,0.5
1630696,Dru Smith,1610612748,MIA,27.0,16,10,6,17.1,6.5,2.4,3.3,1.6,0.1,1.0,0.468,0.4,0.762
1629130,Duncan Robinson,1610612765,DET,31.0,16,14,2,31.9,12.8,2.8,2.0,0.9,0.3,0.7,0.463,0.44,0.75
1641871,Duop Reath,1610612757,POR,29.0,12,7,5,7.2,3.4,0.5,0.3,0.0,0.1,0.1,0.583,0.591,0.0
203939,Dwight Powell,1610612742,DAL,34.0,13,3,10,9.0,2.1,2.0,0.6,0.3,0.2,0.4,0.5,0.0,0.833
1642928,Dylan Cardwell,1610612758,SAC,23.0,3,1,2,10.8,1.7,1.7,0.0,0.7,1.0,0.7,0.333,0.0,0.5
1642844,Dylan Harper,1610612759,SAS,19.0,6,5,1,23.4,14.0,4.0,3.8,0.7,0.0,1.8,0.5,0.357,0.833
1630700,Dyson Daniels,1610612737,ATL,22.0,17,10,7,32.8,9.2,6.1,5.6,2.3,0.5,2.2,0.476,0.158,0.625
1630604,E.J. Liddell,1610612751,BKN,24.0,5,1,4,4.9,2.4,1.4,0.0,0.0,0.0,0.0,0.364,0.25,0.667
1642856,Egor Dëmin,1610612751,BKN,19.0,14,3,11,21.3,7.7,3.2,3.5,0.9,0.2,1.6,0.389,0.388,0.889
1641989,Elijah Harkless,1610612762,UTA,25.0,7,2,5,9.4,2.4,0.9,0.7,0.6,0.0,0.4,0.364,0.286,0.778
201569,Eric Gordon,1610612755,PHI,36.0,3,2,1,7.1,2.7,0.0,0.3,0.3,0.0,0.7,0.6,0.5,0.0
1630596,Evan Mobley,1610612739,CLE,24.0,16,10,6,34.4,19.0,8.8,4.0,1.1,1.6,2.7,0.476,0.357,0.607
1630532,Franz Wagner,1610612753,ORL,24.0,17,10,7,35.4,23.5,6.4,3.9,1.1,0.4,1.9,0.47,0.358,0.844
1641713,GG Jackson,1610612763,MEM,20.0,8,4,4,6.8,2.5,1.8,0.3,0.5,0.1,0.3,0.25,0.0,0.667
1629216,Gabe Vincent,1610612747,LAL,29.0,4,3,1,21.9,4.3,0.8,2.0,0.8,0.0,0.5,0.313,0.308,1.0
202066,Garrett Temple,1610612761,TOR,39.0,3,3,0,3.3,1.3,0.3,0.3,0.0,0.3,0.3,0.5,0.5,0.5
1629726,Garrison Mathews,1610612754,IND,29.0,1,0,1,10.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203914,Gary Harris,1610612749,MIL,31.0,10,4,6,10.8,2.6,0.6,0.8,0.8,0.2,0.2,0.526,0.455,1.0
1627780,Gary Payton II,1610612744,GSW,32.0,17,8,9,10.8,2.9,2.8,1.2,0.6,0.4,0.5,0.458,0.222,1.0
1629018,Gary Trent Jr.,1610612749,MIL,26.0,17,8,9,27.8,10.1,1.4,1.9,1.0,0.1,0.8,0.405,0.382,0.722
203507,Giannis Antetokounmpo,1610612749,MIL,30.0,13,7,6,31.8,31.2,10.8,6.8,0.9,1.2,3.5,0.629,0.5,0.636
1629048,Goga Bitadze,1610612753,ORL,26.0,17,10,7,16.7,6.2,5.1,1.5,0.6,1.2,0.6,0.736,0.333,0.758
1641711,Gradey Dick,1610612761,TOR,22.0,16,11,5,16.7,7.4,2.1,0.6,0.7,0.1,0.4,0.427,0.333,0.833
1628960,Grayson Allen,1610612756,PHX,30.0,13,8,5,32.1,18.5,3.1,4.3,1.6,0.3,1.8,0.468,0.447,0.794
1627824,Guerschon Yabusele,1610612752,NYK,29.0,14,9,5,10.5,2.7,2.4,0.4,0.1,0.1,0.2,0.341,0.25,0.5
